Top_Left,Top_Center,Top_Right,Side_Right,Bottom_Center,Side_Left,Steering,Throttle
148,0,0,193,93,138,3,143
127,0,0,0,175,127,3,143
151,0,0,0,86,133,49,141
139,0,0,0,0,119,105,142
0,0,0,0,0,115,89,143
0,0,0,0,0,118,91,142
0,0,0,0,0,0,90,143
0,0,0,0,0,0,89,143
0,0,0,0,0,0,90,143
0,0,0,0,0,0,91,144
0,0,0,0,0,0,90,142
0,0,0,0,0,0,89,142
0,0,0,0,0,0,88,142
0,0,0,0,0,0,88,144
0,0,0,0,0,0,82,142
0,243,0,0,0,0,84,142
0,46,200,0,0,0,62,142
123,114,122,0,0,0,32,144
86,96,100,0,0,118,19,140
62,70,95,0,91,41,6,140
65,0,0,0,81,25,77,143
100,54,0,0,95,52,112,144
77,110,0,0,93,43,88,142
119,134,0,0,90,68,89,143
108,80,80,0,98,75,59,141
0,0,0,0,0,91,175,140
0,0,0,0,0,104,176,141
0,0,0,0,0,89,166,140
95,107,0,0,90,87,31,141
102,0,0,0,0,103,38,137
0,0,0,0,96,127,27,140
0,0,0,0,84,0,12,140
0,0,0,0,81,0,1,140
0,0,0,0,78,0,78,141
0,0,0,0,81,0,72,141
0,0,0,0,0,0,75,141
0,0,0,0,0,0,89,141
0,0,0,0,0,0,89,141
0,0,0,0,0,0,86,140
0,0,0,0,0,0,88,140
0,0,0,0,0,0,86,141
0,0,0,0,0,0,88,140
0,0,0,0,0,0,89,140
0,0,0,0,0,0,89,140
0,0,0,0,94,0,89,140
178,179,0,0,0,0,87,140
123,117,115,0,0,0,67,141
46,38,0,0,113,57,26,140
92,0,0,0,94,66,91,138
84,127,0,0,36,64,111,138
97,0,0,0,0,0,79,139
97,118,0,0,87,0,80,139
70,172,0,0,0,0,87,138
88,117,0,0,95,46,78,138
80,110,0,0,0,35,89,138
78,115,0,0,92,60,89,139
94,126,0,0,93,57,83,138
53,75,0,0,102,37,77,136
86,0,0,0,87,46,69,138
76,296,0,0,93,52,89,138
96,240,237,0,0,64,91,139
94,186,0,0,0,80,89,138
142,137,134,0,102,67,25,137
104,0,0,0,92,69,89,137
67,0,0,0,0,60,88,139
63,0,0,0,0,46,88,137
0,0,0,0,0,46,88,137
0,0,0,0,0,196,86,138
0,0,0,0,0,0,89,138
0,0,0,0,192,0,89,138
0,0,0,0,88,0,88,138
0,0,0,0,0,0,89,138
0,0,0,0,0,0,89,139
0,0,0,0,0,0,88,138
0,0,0,0,0,0,88,139
0,0,0,0,0,0,89,139
0,0,0,0,0,0,84,139
0,178,175,0,0,0,54,139
130,119,0,0,0,0,38,141
80,83,98,0,0,112,15,142
67,111,0,0,87,58,29,138
62,68,0,0,87,53,88,141
63,81,0,0,93,60,88,143
48,59,0,0,99,30,86,144
34,51,119,0,88,20,86,144
15,281,0,0,87,19,72,144
66,210,0,0,43,56,76,137
70,160,0,0,87,45,39,132
0,0,0,0,122,93,78,137
0,0,0,0,0,105,140,140
0,0,0,0,88,107,142,140
0,0,0,0,0,136,143,140
0,0,0,0,0,148,113,137
0,0,0,0,0,159,125,139
0,0,0,0,0,154,108,138
0,0,0,0,0,155,72,137
0,0,0,0,0,172,13,137
0,0,0,0,78,0,16,137
0,0,0,0,0,0,19,140
0,134,0,0,0,0,8,141
109,112,0,0,94,0,4,140
0,0,0,0,0,0,57,140
0,0,0,0,0,0,85,141
0,0,0,0,0,115,99,140
0,0,0,0,0,0,108,140
0,0,0,0,99,0,89,139
0,0,0,0,0,129,89,139
0,0,0,0,0,86,89,139
0,0,0,0,0,0,90,139
0,0,0,0,0,0,90,139
0,199,0,0,0,0,93,139
142,44,0,0,0,114,75,135
73,0,0,0,49,55,73,139
60,0,0,0,107,0,78,136
96,0,0,0,94,50,86,135
99,0,0,0,0,56,86,138
93,168,0,0,0,116,87,135
97,133,0,0,0,49,89,135
78,168,0,0,0,112,89,138
98,135,0,0,0,60,89,137
97,0,0,0,0,98,89,138
144,237,231,0,79,80,87,138
141,129,130,0,89,100,49,138
93,0,0,0,234,56,83,139
0,0,0,0,0,50,114,137
0,0,0,0,0,48,99,138
0,0,0,0,0,213,89,138
0,0,0,0,0,0,89,139
0,0,0,0,0,0,89,138
0,0,0,0,183,0,89,138
0,0,0,0,0,0,89,138
0,0,0,0,0,0,88,138
0,0,0,0,0,0,89,139
0,0,0,0,0,0,88,138
0,0,0,0,0,0,89,138
0,0,0,0,0,0,89,138
0,0,0,0,0,0,89,139
0,191,201,0,0,0,87,140
0,139,127,0,0,0,82,137
43,0,0,0,87,41,60,136
94,0,0,0,95,49,106,139
95,0,0,0,95,57,99,139
101,0,0,0,87,50,88,139
111,218,0,0,0,68,113,138
102,166,160,0,86,72,91,137
91,0,0,0,172,65,25,136
0,0,0,0,79,60,129,139
